,img_ids,dissimilarity_0_1,dissimilarity_45_1,dissimilarity_90_1,dissimilarity_135_1,correlation_0_1,correlation_45_1,correlation_90_1,correlation_135_1,homogeneity_0_1,homogeneity_45_1,homogeneity_90_1,homogeneity_135_1,contrast_0_1,contrast_45_1,contrast_90_1,contrast_135_1,ASM_0_1,ASM_45_1,ASM_90_1,ASM_135_1,energy_0_1,energy_45_1,energy_90_1,energy_135_1,dissimilarity_0_2,dissimilarity_45_2,dissimilarity_90_2,dissimilarity_135_2,correlation_0_2,correlation_45_2,correlation_90_2,correlation_135_2,homogeneity_0_2,homogeneity_45_2,homogeneity_90_2,homogeneity_135_2,contrast_0_2,contrast_45_2,contrast_90_2,contrast_135_2,ASM_0_2,ASM_45_2,ASM_90_2,ASM_135_2,energy_0_2,energy_45_2,energy_90_2,energy_135_2,dissimilarity_0_3,dissimilarity_45_3,dissimilarity_90_3,dissimilarity_135_3,correlation_0_3,correlation_45_3,correlation_90_3,correlation_135_3,homogeneity_0_3,homogeneity_45_3,homogeneity_90_3,homogeneity_135_3,contrast_0_3,contrast_45_3,contrast_90_3,contrast_135_3,ASM_0_3,ASM_45_3,ASM_90_3,ASM_135_3,energy_0_3,energy_45_3,energy_90_3,energy_135_3,dissimilarity_0_4,dissimilarity_45_4,dissimilarity_90_4,dissimilarity_135_4,correlation_0_4,correlation_45_4,correlation_90_4,correlation_135_4,homogeneity_0_4,homogeneity_45_4,homogeneity_90_4,homogeneity_135_4,contrast_0_4,contrast_45_4,contrast_90_4,contrast_135_4,ASM_0_4,ASM_45_4,ASM_90_4,ASM_135_4,energy_0_4,energy_45_4,energy_90_4,energy_135_4,dissimilarity_0_5,dissimilarity_45_5,dissimilarity_90_5,dissimilarity_135_5,correlation_0_5,correlation_45_5,correlation_90_5,correlation_135_5,homogeneity_0_5,homogeneity_45_5,homogeneity_90_5,homogeneity_135_5,contrast_0_5,contrast_45_5,contrast_90_5,contrast_135_5,ASM_0_5,ASM_45_5,ASM_90_5,ASM_135_5,energy_0_5,energy_45_5,energy_90_5,energy_135_5,label
0,Ajwa Date (1).JPG,9.074292071922475,11.50021649707737,8.572974910393686,11.521216713574423,0.8429167091982623,0.7721100238944308,0.8615487625883689,0.7675268042464797,0.268459758093223,0.23679147341382617,0.26957409372827457,0.24046507786821958,252.299860029407,364.11629501332027,221.9040143369018,371.43923648694596,0.02799384678059874,0.02584581699039512,0.028247848820031472,0.026188145084380852,0.1673136180369032,0.16076634284076727,0.1680709636434309,0.16182751646237686,13.312509033097076,11.50021649707737,12.940360360359616,11.521216713574423,0.7021708454263818,0.7721100238944308,0.7161797976605618,0.7675268042464797,0.23147431047857547,0.23679147341382617,0.2299298840795726,0.24046507786821958,476.96390374329894,364.11629501332027,451.7816576576127,371.43923648694596,0.025516132821890303,0.02584581699039512,0.026274619267916494,0.026188145084380852,0.15973770006448165,0.16076634284076727,0.1620944763646081,0.16182751646237686,15.730146604097369,15.580131482832366,15.236340579711442,15.611687363036891,0.6053761052337994,0.614175045657994,0.6224781406935344,0.6093451112890218,0.21450275495819707,0.21135346153372137,0.21821597058914688,0.21369871633823342,629.8012295827787,610.2076698319167,594.7868478261474,617.8465303140171,0.023098885991489185,0.023136889653542686,0.025249770925233537,0.02300349996610353,0.1519831766725817,0.1521081511739022,0.15890176501610528,0.15166904748861426,17.427770859277054,17.911157941435988,16.840400728595508,17.823018337768392,0.5327771099468281,0.5135392919471524,0.5510537170947732,0.5067796982963884,0.20015966277669006,0.1921355154938012,0.2081865722688092,0.19630181299137647,743.5030034429661,758.3086734693143,699.1724225864541,768.8457187222003,0.020760099979930988,0.019434633269086253,0.02350165460631555,0.01970898545977793,0.1440836561860192,0.13940815352441283,0.15330249380331537,0.14038869420212557,18.681799741841832,19.56725802829641,18.03358974358794,19.394939740999344,0.4751406006104908,0.43706724956194676,0.4926220297197308,0.4282622371402566,0.18894447204777085,0.1779305426875033,0.20193139284831613,0.17877508055978159,832.7937672875382,863.9957332136074,780.9467032966271,877.5097686953084,0.0186256962978831,0.01675417169803804,0.02223778931689794,0.016608490143115946,0.13647599165378174,0.12943790672765856,0.14912340298188592,0.12887393120067359,Ajwa
1,Ajwa Date (10).JPG,6.179243790539332,7.53920515574682,5.229374110952625,7.9801487846603765,0.9175646243459035,0.8848828978451537,0.9322771573358348,0.8753161546955879,0.32556013692199154,0.290269698438669,0.35831152533060395,0.28112801186841174,238.42833412434678,333.49218283807147,196.09747905798824,361.2068663723061,0.016444006871372405,0.015322484628135506,0.016941750995836766,0.015360230598770761,0.12823418760756589,0.12378402412321028,0.13016048169792843,0.1239363973930611,10.017800254857658,7.53920515574682,8.451232114468826,7.9801487846603765,0.8336970044302336,0.8848828978451537,0.8630833670051389,0.8753161546955879,0.25161390257580674,0.290269698438669,0.2762884071007722,0.28112801186841174,479.9318652436817,333.49218283807147,396.528974562867,361.2068663723061,0.014819452275277294,0.015322484628135506,0.015417382804112041,0.015360230598770761,0.1217351727122334,0.12378402412321028,0.1241667540210021,0.1239363973930611,12.686567762629453,11.4385979049147,10.82044618583207,12.458823529411061,0.7580657806941371,0.7914200849315918,0.8004348634353167,0.7590679034234163,0.2238175530841755,0.2332415937013007,0.24578636392904318,0.22554133241436217,694.8151964714898,602.9571313456539,577.2547177355466,696.4799355358233,0.013819604902607169,0.01321953114803728,0.014043219273940364,0.012942494583077458,0.11755681563655579,0.11497621992410988,0.11850408969288935,0.11376508507919932,14.857477390180613,14.066272189350668,12.70109395109252,15.742664762295322,0.6856616845137127,0.710716274541216,0.7456576829403649,0.6500063902532961,0.20389019071221162,0.20652061839069297,0.2272523812875987,0.19677814416185843,899.5109011628417,830.988124872571,733.1751126125247,1005.38159559285,0.01227546671874914,0.010659426362443311,0.012779370159766122,0.01063628295671748,0.11079470528301044,0.10324449797661525,0.1130458763501178,0.10313235649745175,16.75016262807054,16.18824404761792,14.188299077519991,18.43344907407262,0.6149622789893185,0.6367791489864323,0.6996684112809013,0.5500484521204425,0.18796849630866114,0.1869838099853774,0.21181257157346478,0.17556617993711068,1096.034517807834,1035.6622850528372,861.9675513836783,1282.9600694443511,0.011062808155925478,0.008941399217143334,0.011986286401575558,0.00868356622002041,0.10517988474953506,0.09455897216628009,0.10948189988110162,0.09318565458277583,Ajwa
2,Ajwa Date (100).JPG,9.167629331993588,12.84680134680265,10.426190476190397,12.793181818183076,0.8941958497592313,0.8131457675593067,0.8674794500983081,0.8171190191304326,0.24851359361789613,0.21559502099248284,0.24408233962038023,0.21196027137496343,286.9733383559245,505.1357744108234,359.5667919799431,494.39461279466076,0.01786345537030282,0.016709840938853443,0.018398307101642898,0.01647188424650909,0.13365423813071856,0.1292665499611305,0.13564035941283442,0.1283428387036421,14.036480958207584,12.84680134680265,15.4725920947599,12.793181818183076,0.7851907420142132,0.8131457675593067,0.7366428311120321,0.8171190191304326,0.204813100506222,0.21559502099248284,0.20629606074974116,0.21196027137496343,581.100797098502,505.1357744108234,712.2968874699638,494.39461279466076,0.015771531120943913,0.016709840938853443,0.016954634003898374,0.01647188424650909,0.12558475672207958,0.1292665499611305,0.13020996123146023,0.1283428387036421,16.873480662983862,17.711501556566915,18.39237137788175,17.839353490551247,0.7040652229988167,0.6762737458149861,0.6483254167268043,0.6750027280091757,0.18976619905263462,0.18817944700011346,0.19231117276514312,0.18277003616511245,798.8745006375113,869.7480916029165,945.3354312747865,873.162906733629,0.014314314050355268,0.014425854689068374,0.015889958059967308,0.014197772080158317,0.11964244251249331,0.1201076795590872,0.12605537695777722,0.11915440436743543,18.89798278298773,20.80345721694441,20.423346501846922,21.156611927402484,0.6441045666420949,0.5810701252826589,0.5811107440681684,0.5711567598895323,0.17708990703125838,0.1631321759284813,0.1791249617359254,0.1624224881497517,959.0782902907649,1115.6146067418151,1117.479971114167,1142.0140017288443,0.012460582416787384,0.011639408463314587,0.014728982329792929,0.011501939642137375,0.11162697889304084,0.1078860902216527,0.12136301878988068,0.10724709619443025,20.688406422649784,22.90583804142933,22.129015721119497,23.681119432398443,0.5886717941327532,0.5071978257768244,0.5226401001793006,0.481484668024406,0.16350726097374332,0.1502993133850143,0.17085431089197797,0.14635110902398119,1107.020675068938,1299.096964919056,1262.3139952152299,1366.8805238031223,0.010790236314049823,0.00960392726909532,0.013503747229156942,0.009195032705048865,0.10387606227639659,0.09799962892325317,0.11620562477417752,0.09589073315523698,Ajwa
3,Ajwa Date (101).JPG,8.264343183698411,10.250576450575693,8.265540540541377,11.428879228878348,0.8684075849654307,0.8074672851572976,0.8748130873957681,0.7811487613894861,0.2620809614310508,0.23726384356412517,0.2583808000717998,0.22517342675202473,234.083051357259,339.65908145905485,222.60975975978036,386.0892458892144,0.020049292165314654,0.01903923034522105,0.020461216424763232,0.01877193885509807,0.1415955231118366,0.13798271755992142,0.14304270839425276,0.1370107253287058,12.430561865819246,10.250576450575693,12.85197765700604,11.428879228878348,0.7414074117348985,0.8074672851572976,0.7335037941971226,0.7811487613894861,0.22053647390125666,0.23726384356412517,0.21704757593471954,0.22517342675202473,456.97493563533527,339.65908145905485,469.6623641304727,386.0892458892144,0.018593535437443343,0.01903923034522105,0.018458244004843374,0.01877193885509807,0.1363581146739839,0.13798271755992142,0.13586112028407307,0.1370107253287058,14.822809425762422,14.357777097367219,15.407862780812248,16.09246785058229,0.6548161141944779,0.6617924526740627,0.6340681301365876,0.6080296428948239,0.20388237194617753,0.2033770621608302,0.20127086403717354,0.19342934696259556,605.8653626173151,587.0819044703208,639.3849423193162,680.4067666871034,0.017471203487326593,0.016352394298694152,0.017443929643701128,0.016230690972256226,0.13217868015427675,0.1278764806314834,0.13207546950021085,0.1273997290901995,16.402380952380355,16.99821726156064,17.364010989007017,18.484246017907186,0.5941153930096029,0.554907868360732,0.5518078085669654,0.5065438743447327,0.19100079852986343,0.18253728403017405,0.18823213874001,0.17528893245297067,707.1626728110358,760.0886331047631,776.8334859582974,842.680347246544,0.015813349012862573,0.013988093439763873,0.015976886496499032,0.013627036254050642,0.12575113921099312,0.11827127055952293,0.12639970924214594,0.1167348973274515,17.631004873520574,19.031475667190655,18.885167280538408,20.299450549451354,0.5436266473639678,0.46404526180071315,0.4847705529249445,0.4315035718381918,0.18086006916587463,0.16907975138584722,0.18120483440703147,0.15854422980002358,790.598746809014,900.1269230769573,885.5249769796557,954.7801412873234,0.01452065052753942,0.0121839966212356,0.014921732036047413,0.011600934737503751,0.12050166192853698,0.11038114250738484,0.12215454161040191,0.10770763546519695,Ajwa
4,Ajwa Date (102).JPG,6.756011396011098,8.098778159602617,5.5550712553065456,8.271821305841511,0.8402819728737306,0.7865747155279751,0.8915834422074013,0.7873092071232284,0.3248524266407714,0.2967281340570634,0.33695985112128646,0.2803676986097697,215.73811965811242,287.9127529591265,146.33834899939382,286.9219167621034,0.02474620895032154,0.023281469118450335,0.02510709013764941,0.023122332308569523,0.15730927801729158,0.15258266323029734,0.15845216987359123,0.1520602916890847,10.356371986223282,8.098778159602617,8.827377323986243,8.271821305841511,0.6900550933555268,0.7865747155279751,0.7819726551249321,0.7873092071232284,0.26394768813831476,0.2967281340570634,0.2690932266508015,0.2803676986097697,418.34045158825046,287.9127529591265,293.9235370313836,286.9219167621034,0.02238549151267821,0.023281469118450335,0.0230623411571119,0.023122332308569523,0.14961781816574593,0.15258266323029734,0.1518629025045679,0.1520602916890847,12.503836514361168,11.564650839069778,10.869561887255943,11.874835666229346,0.5761262361560447,0.6293135115302148,0.6990929946023294,0.6340879089353806,0.24064917059599164,0.24957096510535878,0.24594055456340955,0.23589700196682276,571.9052631578052,498.9680999149659,405.3030790441489,492.5414507772368,0.020608185053099876,0.02026462280140136,0.02178822935017102,0.020337107669764487,0.14355551209584352,0.14235386472239298,0.14760836477033074,0.142608231423591,14.00062160062303,13.593475877191453,12.324491838619284,13.911145050123501,0.48546528379346243,0.5235804581659533,0.6346614085930236,0.5224368469597743,0.22550854474702384,0.22520415537180175,0.23115007497191775,0.21376007622903012,694.2521367522099,640.3213110901409,490.7899214659367,641.8583568294832,0.018804929638259898,0.01717747005455612,0.020427975365001873,0.016970946325561273,0.13713106737081826,0.13106284772793592,0.14292646838497716,0.1302725847043854,15.3411235075342,15.240956687293002,13.421091331268412,15.404767570999041,0.4003529180368315,0.4331112064637547,0.5837363073115612,0.43407905308490263,0.2111743164857237,0.2072154793231813,0.2192848683497841,0.19567655722154392,808.1104325699004,759.6354513724315,557.4893575850996,758.3385292718452,0.016853965428768956,0.014661272126789242,0.018964426088377905,0.01443126085810824,0.12982282321983665,0.12108374014205724,0.13771138692344184,0.12013018296043772,Ajwa
5,Ajwa Date (103).JPG,9.238308457711975,10.931874134482966,7.791828942344192,11.203223572858155,0.8505614151666642,0.7929229472400282,0.893803917627062,0.796138015816468,0.2758838967378333,0.2557959128253425,0.284963771066625,0.25008734305373614,262.6921928817731,362.1541390983506,186.72531500571768,356.5313509770982,0.02870533478798706,0.0270082267441365,0.02970414748975551,0.026818619591393485,0.16942648785826572,0.16434179853018677,0.17234891206432232,0.16376391419172137,13.606709080390706,10.931874134482966,12.264287085011977,11.203223572858155,0.7053137932469064,0.7929229472400282,0.762525951833311,0.796138015816468,0.2353280224656465,0.2557959128253425,0.24242574893600533,0.25008734305373614,515.3252361672506,362.1541390983506,415.56676261752006,356.5313509770982,0.025494367230078224,0.0270082267441365,0.027390022457030046,0.026818619591393485,0.15966955636588406,0.16434179853018677,0.16549931255757544,0.16376391419172137,15.872921522923399,15.009310841874173,14.80825617283831,15.358759593286345,0.6158032229341628,0.6327879588017077,0.6658478845739642,0.6471809330207189,0.219028556398697,0.22545487191100508,0.22762747593915497,0.22073513147914525,668.5203185704034,635.5291596868973,582.0343364197118,610.6194242083001,0.023255115556977315,0.023324615857860394,0.026072571796176554,0.023491153885158125,0.15249628046931937,0.15272398586292985,0.16147003374055682,0.15326824160653155,17.46643178704047,17.518347537882608,16.700329649023416,17.71839488636753,0.5522422614358947,0.5312979200262355,0.5912465547727859,0.5555878223554486,0.20492812893772724,0.20221164875641684,0.21572505191144029,0.19630465985585752,775.1901350556999,802.7980192552212,709.207756447665,761.1940104168234,0.020612025623738203,0.01942927719878821,0.0245672917134634,0.019497937078988132,0.14356888807725093,0.13938894216826603,0.15673956652186902,0.1396350138002218,18.873925049311442,19.424323568201864,18.179142300193664,19.469006034929883,0.49495567684628305,0.45290212120232554,0.5319146163420992,0.48364394261293814,0.19328135682836062,0.18597322938801902,0.2070007009345631,0.18084509100862828,870.1176331361658,927.7982494704083,808.3099025340473,875.6646017345176,0.01851464351154295,0.016385685286974105,0.02289175472794632,0.016397747414089604,0.13606852505830638,0.12800658298296266,0.15130021390581813,0.1280536895762461,Ajwa
6,Ajwa Date (104).JPG,8.083435913217938,10.722333926224591,7.829591249280049,10.353298275462835,0.8417063642037754,0.7396603626303309,0.855011936142581,0.7672774309094739,0.24345985803615586,0.20857577931319285,0.2496806397475499,0.20962519565104323,217.38186644100435,354.35847962263705,199.18380349260914,316.76780604750417,0.012070821061612539,0.010939751210152256,0.01282452745161457,0.010990903719409632,0.1098672884056603,0.10459326560611948,0.11324543015775325,0.1048375110321188,12.344818231145839,10.722333926224591,11.89104938271516,10.353298275462835,0.6782691280930411,0.7396603626303309,0.6972412337348298,0.7672774309094739,0.19452096293018523,0.20857577931319285,0.20028464722792141,0.20962519565104323,437.6240213937227,354.35847962263705,412.6813271604675,316.76780604750417,0.010432004349836729,0.010939751210152256,0.01082482841315768,0.010990903719409632,0.10213718397252163,0.10459326560611948,0.10404243563641559,0.1048375110321188,14.91811152764829,15.09316259398331,14.130269536554259,14.412789786965865,0.5546834812781504,0.5282692044997057,0.5936300506512441,0.5808942646059941,0.17806446111562674,0.17547481094330905,0.1838767994798359,0.17837393270191904,599.2193455170424,630.5217340224738,549.810393639796,560.1823699873959,0.009811181964038839,0.009107751425965904,0.010070946978849518,0.00904397238862684,0.09905141071200772,0.09543454000499978,0.10035410793210968,0.09509980225335297,16.65153065239507,17.61375535459458,15.648343079921053,16.617721719817293,0.4677807525337062,0.3970759189695183,0.523278407108122,0.4641040226225693,0.1627325180796253,0.15425427945145986,0.17065196205609237,0.16160380474286987,708.2165735421121,790.3231001111391,637.7596101364146,702.4615262574084,0.008475947431490168,0.0071670781668352205,0.009197950366493195,0.0075085400191614166,0.0920649087953177,0.08465859771361217,0.0959059454178582,0.08665183217429057,17.922006344172868,19.263720369625478,16.7359592396618,18.223865006025832,0.40380197885483887,0.3060944621695916,0.47241926643485377,0.3822759149074564,0.15306432474452616,0.13905532019209868,0.16015696662353296,0.14139931235023068,782.7570578905596,887.7540377661412,699.3270625121883,790.2906388107376,0.007513500544928482,0.005800524315827626,0.008444770243277423,0.005854557965856386,0.08668045076560506,0.07616117328289806,0.09189543102503749,0.0765150832572009,Ajwa
7,Ajwa Date (105).JPG,8.970885397336573,10.542302587922828,7.7165266798414285,11.312707365626332,0.8594152966913324,0.8269170919671086,0.8961796826264657,0.7896665394799828,0.27649755399716947,0.25033518743045985,0.28662039387951876,0.2484946975152158,244.7956204379699,299.8661247511522,180.77350955203156,364.40270404776277,0.02910624997176472,0.02756490674848469,0.029798026076461478,0.02714151605298372,0.170605539100478,0.16602682538820251,0.17262104760561928,0.1647468241059102,13.25780990362176,10.542302587922828,11.731594202897789,11.312707365626332,0.7231264054088282,0.8269170919671086,0.7866649468369683,0.7896665394799828,0.2373881360351385,0.25033518743045985,0.24274557434418145,0.2484946975152158,480.012961116619,299.8661247511522,370.00074534158404,364.40270404776277,0.02650620425336265,0.02756490674848469,0.027519966222152876,0.02714151605298372,0.16280726105847568,0.16602682538820251,0.1658914290195635,0.1647468241059102,15.658045616237558,14.464705882351817,13.842495418955627,15.46957983193164,0.6321602016870024,0.6997392358584679,0.7159393725859168,0.6398078698405079,0.22207897623759665,0.22234470803267486,0.2312862061687904,0.22201929743592685,635.0965892446014,515.6830252100372,491.0141595868228,618.6121848738982,0.02500781453840019,0.024220868053102074,0.026438055335143422,0.02418060253513075,0.15813859281781975,0.15563054987084662,0.16259783311945894,0.15550113354934347,17.391011046460978,16.754491272881225,15.44378822149514,17.993146019581893,0.5626928486261809,0.6152502326978904,0.6571425977285901,0.5405692988403831,0.21084221322349445,0.20442628060977425,0.2196654472321055,0.1990362625961902,751.8578294965205,655.4449978714066,590.7854150958813,782.6685823754518,0.02300817527497677,0.021401611801511764,0.024748664958097997,0.020443960374793346,0.1516844595697818,0.1462928973037029,0.15731708412660717,0.1429823778470387,18.825835775879955,18.48395306703393,16.756572295248304,19.97467862997069,0.5029655473568388,0.5483407704102808,0.6069830674830918,0.4551257944935135,0.19867322115791805,0.18891084946926995,0.21164306536484934,0.18266427645046698,850.6145448366514,763.1780260546731,675.3677957533129,920.6853161935658,0.02096155247083452,0.018811101808550577,0.023422191098202635,0.01815466686916208,0.14478105010958622,0.13715357016334126,0.1530431020928504,0.13473925511580534,Ajwa
8,Ajwa Date (106).JPG,8.861245674741228,11.269796380091849,8.785254610634638,11.757091890011921,0.8679721188687721,0.8076455024273066,0.8740880091704358,0.7860662484715185,0.26892699186623764,0.2405062402102939,0.27000053125230156,0.23918643016129018,271.64766435988304,393.4897754960541,259.419729624704,437.6333536373765,0.02566931613755909,0.024288499277159474,0.02677430282992122,0.02392819096964469,0.16021646649941787,0.15584767972979088,0.1636285513897902,0.1546873975786156,13.679041394336771,11.269796380091849,13.392639902674507,11.757091890011921,0.7249521944433853,0.8076455024273066,0.746283966664488,0.7860662484715185,0.22659885404363672,0.2405062402102939,0.22909741868612216,0.23918643016129018,561.7864052288005,393.4897754960541,519.5748609662131,437.6333536373765,0.023799304161265567,0.024288499277159474,0.024602548631290577,0.02392819096964469,0.15427023096263767,0.15584767972979088,0.15685199594296076,0.1546873975786156,16.61896400351215,16.143165784830515,16.06805367367616,16.286904761902797,0.6222998624539142,0.6498665115333792,0.6592718626239717,0.6333591305464392,0.21181624528749832,0.20859266253449293,0.21505923138972557,0.21128759485859008,765.6965759438316,706.3507495589774,693.5013331002848,739.6523368605596,0.022232982430711336,0.021613751753549425,0.02365953224435101,0.021247512550963823,0.14910728496861358,0.14701616153861938,0.15381655386970222,0.1457652652416337,18.676957098631135,19.276476896950445,17.976739073082317,19.135177406379363,0.5459277434113564,0.5291353863679522,0.5924566711201715,0.5322149347694604,0.19941910034411478,0.1910502333356298,0.20413812589597147,0.19013979802722264,913.3765590447699,936.2749575475075,824.1756661684005,930.1515327552949,0.020334739729357825,0.0187001810578029,0.02219154846686856,0.01792493451009468,0.14259992892479934,0.13674860532306318,0.148968280069512,0.13388403381320224,20.467156862745732,21.534604583749164,19.47847821278244,21.413941480207242,0.47934212509809576,0.4399087843909203,0.5401465795577904,0.4431659900505315,0.1854030293988468,0.17617957996184816,0.1963272535324653,0.17519696141398602,1039.5584224599875,1096.7143310082768,924.4038487059493,1090.3363982245135,0.01841772156926578,0.016258931667726993,0.021010524700746987,0.015435488622998303,0.13571190651253034,0.12751051591036322,0.14495007658068687,0.12423964191431937,Ajwa
9,Ajwa Date (107).JPG,8.643751109533682,11.218338467031671,8.071105794790153,10.746930940582141,0.8597125943612145,0.7865148016349053,0.8857750614839652,0.8034616576960337,0.25018614284153345,0.21817693283228431,0.25689297479562695,0.22308883763174572,242.13993431565427,365.9541984732462,197.5175881623108,336.90406678270375,0.017804438275825098,0.017013343600911186,0.019228260261633885,0.017257458443487358,0.13343327274643718,0.13043520844047893,0.13866600254436515,0.13136764610621351,13.400670840786315,11.218338467031671,12.595543672014722,10.746930940582141,0.7041671159496267,0.7865148016349053,0.7556355662747857,0.8034616576960337,0.2056343746303774,0.21817693283228431,0.21208267422627486,0.22308883763174572,506.9039803219782,365.9541984732462,419.3751336898539,336.90406678270375,0.016054497113422477,0.017013343600911186,0.017604163687839864,0.017257458443487358,0.12670634204104575,0.13043520844047893,0.1326806831752078,0.13136764610621351,16.236749594375674,15.997873303166187,15.189797382106526,15.421312217193464,0.5889078969616797,0.606458593562652,0.6597068280549102,0.634671641039132,0.18738159738524746,0.18508956134502796,0.19809822582497247,0.18880216956849055,699.1161438615671,664.2132579185035,580.2499551730879,616.5957013574259,0.014483736809746735,0.014303367048173515,0.01683990617892991,0.014636409983412637,0.12034839762018743,0.1195966849380597,0.12976866408702029,0.12098103150251546,18.435683139536337,19.00440346772868,17.102768759019764,18.365625430023496,0.4965329518730062,0.4758989942337684,0.5872730790669447,0.5128744658675384,0.1710166479008117,0.1653797820969858,0.1885538194796263,0.16722939323761796,849.882721657043,871.4186963899575,699.8338293651176,809.9398651436848,0.012260508189145125,0.01184826698869859,0.01585039373780409,0.011917397293069787,0.11072717908962156,0.1088497450098005,0.12589834684301493,0.10916683238543558,20.158121223219034,21.476422991072962,18.662765378335656,20.506091889882498,0.4210120312181096,0.3607129542979579,0.5277890307167842,0.421726697089323,0.16015987154830416,0.1477572226618586,0.17584466232940738,0.1508697619171406,970.2937190991322,1047.8904854911327,796.8075666848775,947.8795107887502,0.01102250565101403,0.009652169112989642,0.014818773070642822,0.00979814291541358,0.10498812147578425,0.09824545339602053,0.12173238299911335,0.09898556922811313,Ajwa
